distancia,tipo_envio,restriccion,antiguedad_dias,prioridad
82.83,express,ninguna,3.56,alta
14.83,express,ninguna,3.55,alta
2.14,normal,ninguna,4.6,media
3.94,normal,ninguna,4.62,media
81.59,normal,valioso,4.28,media
61.27,express,valioso,3.3,alta
71.1,express,ninguna,3.32,alta
3.06,normal,ninguna,3.49,media
26.87,normal,ninguna,1.88,baja
29.26,express,valioso,4.46,alta
79.18,express,ninguna,4.22,alta
37.68,express,valioso,3.47,alta
95.57,express,ninguna,4.43,alta
95.61,normal,ninguna,9.54,alta
40.42,normal,valioso,4.45,media
11.95,express,ninguna,4.72,alta
62.1,express,ninguna,4.55,alta
1.83,normal,ninguna,3.26,media
53.22,normal,ninguna,14.85,alta
95.41,express,ninguna,3.72,alta
3.58,express,ninguna,3.55,alta
3.5,normal,ninguna,4.77,media
4.83,express,ninguna,4.62,alta
72.25,express,ninguna,12.06,alta
39.04,normal,valioso,3.68,media
61.96,express,ninguna,3.64,alta
7.13,express,valioso,3.26,alta
34.31,normal,ninguna,12.34,alta
3.26,normal,ninguna,4.75,media
7.61,express,ninguna,4.03,alta
78.98,normal,ninguna,2.28,media
4.06,normal,ninguna,3.45,media
1.81,normal,ninguna,3.81,media
29.3,express,valioso,3.29,alta
50.92,express,valioso,3.4,alta
79.39,express,ninguna,4.61,alta
12.11,normal,ninguna,8.01,alta
38.25,express,valioso,4.5,alta
34.55,express,valioso,3.12,alta
59.68,express,ninguna,3.26,alta
15.08,express,valioso,3.94,alta
20.34,normal,ninguna,0.87,baja
56.06,normal,valioso,4.17,media
69.86,express,ninguna,3.72,alta
59.71,normal,ninguna,12.59,alta
84.28,express,ninguna,4.9,alta
8.42,express,ninguna,3.77,alta
77.22,express,valioso,4.46,alta
2.9,express,ninguna,3.88,alta
34.96,express,valioso,4.82,alta
54.56,normal,ninguna,1.18,media
13.74,express,ninguna,13.27,alta
63.75,express,ninguna,3.88,alta
45.34,normal,valioso,3.41,media
38.66,express,valioso,3.54,alta
77.76,normal,valioso,3.73,media
4.66,normal,ninguna,4.58,media
49.13,express,valioso,3.13,alta
99.63,normal,ninguna,0.34,media
50.63,express,valioso,3.16,alta
69.57,express,ninguna,8.65,alta
70.08,express,valioso,4.72,alta
54.23,express,ninguna,4.21,alta
13.45,normal,valioso,3.91,media
53.48,normal,valioso,4.3,media
95.18,normal,valioso,4.69,media
3.82,normal,ninguna,3.42,media
57.28,express,valioso,3.93,alta
96.49,express,ninguna,4.55,alta
5.02,express,valioso,4.52,alta
1.74,normal,ninguna,3.75,media
44.99,normal,valioso,4.25,media
81.31,normal,valioso,4.21,media
56.95,normal,valioso,3.6,media
67.11,express,ninguna,4.1,alta
2.72,normal,ninguna,12.5,alta
6.79,express,ninguna,3.9,alta
97.73,express,ninguna,4.14,alta
64.48,normal,ninguna,11.24,alta
82.88,normal,ninguna,10.79,alta
93.26,express,valioso,3.64,alta
2.18,normal,ninguna,3.79,media
4.79,normal,ninguna,4.88,media
7.82,normal,ninguna,2.28,baja
10.49,express,ninguna,3.12,alta
63.12,express,ninguna,9.96,alta
96.88,express,ninguna,4.0,alta
7.89,normal,ninguna,1.12,baja
37.57,express,valioso,4.3,alta
3.71,express,ninguna,4.17,alta
80.43,express,ninguna,4.33,alta
31.56,normal,ninguna,1.47,baja
1.24,express,ninguna,11.57,alta
30.38,express,ninguna,14.48,alta
87.49,express,ninguna,3.64,alta
37.15,express,valioso,3.52,alta
32.77,normal,ninguna,14.86,alta
1.74,express,ninguna,4.21,alta
3.76,normal,ninguna,4.21,media
33.4,express,ninguna,7.6,alta
4.65,normal,ninguna,3.77,media
1.31,normal,ninguna,3.99,media
45.22,normal,valioso,4.11,media
29.02,normal,ninguna,1.8,baja
8.6,express,ninguna,4.38,alta
1.21,normal,ninguna,4.24,media
51.61,express,valioso,4.32,alta
73.39,normal,valioso,3.11,media
10.72,express,ninguna,3.46,alta
73.31,normal,valioso,4.77,media
17.87,normal,valioso,3.62,media
65.26,normal,valioso,3.72,media
8.39,normal,ninguna,1.19,baja
83.78,express,ninguna,4.16,alta
77.12,normal,ninguna,2.59,media
79.74,normal,valioso,4.15,media
3.53,normal,ninguna,3.54,media
34.76,express,valioso,3.41,alta
7.01,normal,valioso,4.42,media
1.78,normal,ninguna,4.29,media
68.32,express,ninguna,4.04,alta
5.48,express,ninguna,3.43,alta
8.35,normal,valioso,4.28,media
23.95,express,ninguna,13.59,alta
48.48,express,ninguna,14.53,alta
3.46,express,ninguna,3.64,alta
33.7,express,valioso,4.62,alta
2.0,express,ninguna,4.39,alta
58.49,express,ninguna,4.37,alta
90.96,normal,valioso,3.3,media
2.78,normal,ninguna,3.45,media
69.05,express,ninguna,3.59,alta
57.02,normal,ninguna,1.93,media
53.44,normal,ninguna,0.11,media
7.1,express,ninguna,4.35,alta
3.99,normal,ninguna,4.87,media
12.06,express,ninguna,4.16,alta
14.85,express,ninguna,4.47,alta
1.59,express,ninguna,4.58,alta
88.06,express,valioso,3.72,alta
80.44,normal,valioso,3.81,media
97.11,express,ninguna,3.36,alta
46.19,normal,valioso,4.54,media
2.45,normal,ninguna,3.84,media
15.34,normal,ninguna,2.35,baja
20.77,express,valioso,3.25,alta
96.7,express,ninguna,14.41,alta
1.16,express,valioso,3.16,alta
3.0,normal,ninguna,4.57,media
75.69,normal,valioso,3.94,media
42.49,express,valioso,3.15,alta
27.06,normal,ninguna,14.12,alta
7.39,express,ninguna,4.15,alta
81.35,normal,ninguna,0.9,media
5.82,express,valioso,3.57,alta
8.47,express,ninguna,3.52,alta
36.09,normal,ninguna,2.52,media
80.6,express,ninguna,3.25,alta
54.33,express,ninguna,4.57,alta
65.09,normal,valioso,4.26,media
38.48,normal,ninguna,0.81,baja
91.67,express,ninguna,4.18,alta
54.18,express,ninguna,9.07,alta
3.18,normal,ninguna,3.9,media
55.85,normal,valioso,4.5,media
13.64,normal,ninguna,1.13,baja
1.15,normal,ninguna,4.48,media
10.21,normal,ninguna,0.35,baja
5.11,express,ninguna,4.48,alta
73.07,normal,valioso,4.26,media
2.22,normal,ninguna,3.56,media
36.56,express,ninguna,7.74,alta
2.55,normal,ninguna,3.27,media
95.62,express,ninguna,4.47,alta
69.99,normal,ninguna,14.47,alta
9.02,express,ninguna,4.67,alta
4.69,normal,ninguna,4.55,media
87.95,normal,ninguna,12.98,alta
93.49,express,ninguna,4.87,alta
6.44,express,valioso,4.71,alta
87.1,express,ninguna,3.89,alta
99.31,normal,ninguna,0.79,media
37.09,normal,ninguna,1.82,baja
88.77,express,ninguna,5.66,alta
37.93,normal,ninguna,0.88,baja
2.42,express,valioso,3.4,alta
63.01,normal,valioso,4.08,media
52.34,normal,ninguna,1.14,media
6.56,express,ninguna,3.59,alta
29.59,express,valioso,4.02,alta
66.53,normal,ninguna,0.32,media
2.84,normal,ninguna,3.84,media
7.04,express,ninguna,5.77,alta
23.65,normal,ninguna,2.41,baja
24.93,normal,valioso,3.6,media
9.44,normal,ninguna,0.75,baja
55.33,express,ninguna,4.58,alta
42.56,express,valioso,4.32,alta
4.0,normal,ninguna,3.82,media
58.88,express,ninguna,3.96,alta
88.28,normal,ninguna,2.71,media
13.79,express,ninguna,3.38,alta
78.96,normal,ninguna,2.12,media
43.87,normal,ninguna,2.44,baja
11.79,express,ninguna,4.36,alta
86.58,normal,ninguna,12.87,alta
89.43,express,ninguna,3.2,alta
95.64,normal,ninguna,2.37,media
76.28,express,ninguna,4.25,alta
61.3,normal,valioso,4.69,media
79.81,express,ninguna,4.67,alta
72.72,express,ninguna,4.9,alta
71.15,express,ninguna,3.78,alta
4.29,normal,ninguna,4.26,media
54.75,express,ninguna,3.14,alta
